reviewId,userName,score,content,at,content_casefolded
b1c2688c-cbdc-4f54-a27e-3c453eed4044,Rizkul Barok,4,aplikasi yg bagus,2025-10-05 07:05:46,aplikasi yg bagus
bbc3b531-6590-4fd4-a9d8-a9cbc91ae6a4,Eko Sugiyanto,5,terferifikasi,2025-10-05 06:04:00,terferifikasi
533a25af-c028-47b3-8645-65aa4f5f009b,Borresh,5,"sip aplikasi yang bagus,, sangat membantu dalam berbelanja secara online",2025-10-05 05:53:22,"sip aplikasi yang bagus,, sangat membantu dalam berbelanja secara online"
4480a115-12f3-43de-81cc-4228ffb45264,Muchtar Ceyi,5,ok,2025-10-05 05:45:06,ok
ef8c36a6-ea20-475f-a9d7-1750d7a53198,herman sudirman,1,"Adain komplain kurir dong, ini ngirim ke JKT paling lambat 3 hari udh 5 hari engga di kirim"" mending ngirim ke bdg dan Jabar tempat waktu malah lebih cepet. ke JKT yg Deket mlh lama 😂😂😂",2025-10-05 05:43:06,"adain komplain kurir dong, ini ngirim ke jkt paling lambat 3 hari udh 5 hari engga di kirim"" mending ngirim ke bdg dan jabar tempat waktu malah lebih cepet. ke jkt yg deket mlh lama 😂😂😂"
e887ffb1-3027-43ca-a30c-434e0de40892,Pino Aja1,5,ok,2025-10-05 05:42:08,ok
bf910d33-dc07-4e39-b401-5a2e43f9ea08,Ella Herawati,5,mantab,2025-10-05 05:28:32,mantab
7b2e5acd-ebd7-4e51-846b-6175a1477baa,Rizky PA,1,semakin amburadul,2025-10-05 05:18:32,semakin amburadul
ead34226-4621-453c-8460-d40abafabe28,Arys OperationalAcc,1,"Pelayanan service update informasi pengiriman sangat lelet alias lambat. Update soal paket diawal hari 1-3 hari sisanya tiba tiba hilang kabar sampai 2 hari sebelum estimasi tiba, tiba tiba semua data informasi paket tersebut update dari hari pertama sampai 1 hari sebelum paket tiba. Pengupdatetan informasi pengiriman ekspedisi paket sangat lah lama, lelet dan tidak bisa dilacak pakai GPS seperti shopee atau Tokopedia versi tiktok, ku harap pelacakan paket bisa real time dan tidak menunggu lelet",2025-10-05 05:09:51,"pelayanan service update informasi pengiriman sangat lelet alias lambat. update soal paket diawal hari 1-3 hari sisanya tiba tiba hilang kabar sampai 2 hari sebelum estimasi tiba, tiba tiba semua data informasi paket tersebut update dari hari pertama sampai 1 hari sebelum paket tiba. pengupdatetan informasi pengiriman ekspedisi paket sangat lah lama, lelet dan tidak bisa dilacak pakai gps seperti shopee atau tokopedia versi tiktok, ku harap pelacakan paket bisa real time dan tidak menunggu lelet"
8bc49b6f-77dd-4caa-b751-2796f29843fd,npwp 12,1,"kalo bisa bintang 0 saya kasi 0 ratingnya, aplikasi jelek banget, tokonya juga gk jelas semua, pengiriman lelet, mending pake SHOPEE.",2025-10-05 04:47:23,"kalo bisa bintang 0 saya kasi 0 ratingnya, aplikasi jelek banget, tokonya juga gk jelas semua, pengiriman lelet, mending pake shopee."
f4256d04-f24b-44c3-b2f3-8712262b522d,Deby Setiadi,5,keren,2025-10-05 04:06:15,keren
09261ed8-5c6c-4c84-add4-61a3c64fa9a8,rambootans,1,"makin kesini makin aneh ,sudah 3th lebih belanja di toped tapi sekarang banyak lapak yang zonk ,mungkin karena potongan terlalu tinggi sehingga banyak yg kabur ke olshop sebelah",2025-10-05 04:04:43,"makin kesini makin aneh ,sudah 3th lebih belanja di toped tapi sekarang banyak lapak yang zonk ,mungkin karena potongan terlalu tinggi sehingga banyak yg kabur ke olshop sebelah"
f7701bf1-714f-4ca9-b845-86af817859c4,Kenzie Pong Tv,1,無法註冊，Tokopedia 給了我一個假的令牌代碼,2025-10-05 04:02:04,無法註冊，tokopedia 給了我一個假的令牌代碼
672296d3-5bc0-44a3-9382-7cd0dab7a4ee,arya bandicot,3,"aplikasi lemot, gambar lama terbuka",2025-10-05 03:57:04,"aplikasi lemot, gambar lama terbuka"
26404346-5420-406a-beda-826c857e06cb,Jange 96,1,"gue jamin yg kasih rating bagus *5 bakal nyesel, pengalaman pake bertahun tahun dan semua ulasan negatif memang pernah saya alami sendiri dan memang seburuk itu kwalitas tokped sekarang. bagi yg masih ga percaya hal-hal negatifnya layanan tolped ya silahkan coba aja dan tunggu giliran kena apes pake tokped. aplikasi brengsek tolol bego monyet !!!",2025-10-05 03:34:59,"gue jamin yg kasih rating bagus *5 bakal nyesel, pengalaman pake bertahun tahun dan semua ulasan negatif memang pernah saya alami sendiri dan memang seburuk itu kwalitas tokped sekarang. bagi yg masih ga percaya hal-hal negatifnya layanan tolped ya silahkan coba aja dan tunggu giliran kena apes pake tokped. aplikasi brengsek tolol bego monyet !!!"
58ac839e-82d3-4e64-80fb-94a9d0a499c2,Eka Violeta Ketaren,4,Good. Adain lagi promo diskon pulsa paket data,2025-10-05 03:33:55,good. adain lagi promo diskon pulsa paket data
1b060377-24f6-4714-a9e7-4e03084f962e,Elshanum Jasmine Kawet,1,multi kurir tokopedi sangat jelek ! udah ga keliatan resi ga bisa di cek dan main lempar ganti ekspedisi !,2025-10-05 03:22:01,multi kurir tokopedi sangat jelek ! udah ga keliatan resi ga bisa di cek dan main lempar ganti ekspedisi !
d6149f3f-8ae4-4e66-95c8-9f583952f74c,Tias Saputra,1,masih pakai anteraja sameday tapi barang ngga sampai2 toko oren lebih bagus mengenai pengiriman.. payah,2025-10-05 03:03:55,masih pakai anteraja sameday tapi barang ngga sampai2 toko oren lebih bagus mengenai pengiriman.. payah
a57d0d48-b663-40c5-ab4e-a808a2fc9c84,Ella Effendy,5,Mantaaaaaps,2025-10-05 02:42:58,mantaaaaaps
074b36bd-00f3-41f6-88ab-f66219cf0435,Wahyu Aditiya,5,sangat baik,2025-10-05 02:17:06,sangat baik
db6355a4-57dd-4597-90d5-9640e779685a,RIYADI IRENX,1,ini aplikasi apaan....pengajuan komplain pengembalian barang dan dana.sudah 2 minggu kok belum selesai.padahal sudah kelihatan penjual penipu.ini sama saja aplikasi penipu.liat itu shopee contoh yg solid.,2025-10-05 02:08:08,ini aplikasi apaan....pengajuan komplain pengembalian barang dan dana.sudah 2 minggu kok belum selesai.padahal sudah kelihatan penjual penipu.ini sama saja aplikasi penipu.liat itu shopee contoh yg solid.
5d2b03ac-e5f8-4310-ae84-5da2e90a394a,Donny imanuel,1,kembalikan uang saya!!! penipu,2025-10-05 01:53:38,kembalikan uang saya!!! penipu
681c5757-8712-49ee-9055-9095d61f1282,HadySrie Key,3,"Aplikasi ini sangat Lambat pengiriman nya apalagi pakai Ninja Express paket saya blm sampai sampai Sudah melewati Estimasi, mau belanja disini jadi enggan🙏.",2025-10-05 01:52:04,"aplikasi ini sangat lambat pengiriman nya apalagi pakai ninja express paket saya blm sampai sampai sudah melewati estimasi, mau belanja disini jadi enggan🙏."
911b68a0-9013-45d0-bdfb-71e765ea3d96,Dede Abdul Rohman,1,bayak bug nya.,2025-10-05 01:43:51,bayak bug nya.
04e994cc-f63d-4a06-b090-c2f32214f5f0,Heri Hermawan,1,"mohon pencerahan, sudah beberapa aplikasi toped ini ga bisa di buka....",2025-10-05 01:38:38,"mohon pencerahan, sudah beberapa aplikasi toped ini ga bisa di buka...."
5b75d907-0652-422f-9c55-7e4fa3d4fe81,wibi9424,5,"perbaiki search engine nya, karna ""pixel"" tidak bisa dicari, ""google pixel"" tidak bisa, tapi ""hp pixel"" bisa, aneh kan? karna misal cari ""xiaomi"" bisa, ""poco"" bisa, kenapa pixel tidak bisa",2025-10-05 01:31:30,"perbaiki search engine nya, karna ""pixel"" tidak bisa dicari, ""google pixel"" tidak bisa, tapi ""hp pixel"" bisa, aneh kan? karna misal cari ""xiaomi"" bisa, ""poco"" bisa, kenapa pixel tidak bisa"
022b3528-c9c1-4bca-b498-ac4678cabff5,rahmat pangripto,1,kirim paket selalu nyampenya setelah habis masa estimasi. pantes jarang ada yang make. pantes orang orang lebih milih shoppe,2025-10-05 00:44:10,kirim paket selalu nyampenya setelah habis masa estimasi. pantes jarang ada yang make. pantes orang orang lebih milih shoppe
