data,label
semakin kekini semakin payah,negatif
update mulu,negatif
aplikasi ini pengiriman lambataturan di membuat sendiri dan dilanggar sendiri tidak ada jaminan pengiriman tepat waktu,negatif
baik,positif
error buka aplikasi terlalu berat di awal udah kaya download ribuan mb,negatif
tidak bisa memilih metode pembayaran selain yang utama seringnya error,negatif
pengiriman lama mau komplain tidak bisa,negatif
aplikasi lambat perbaiki kalau tidak kalah sama aplikasi lain yang lebih lancar amin,negatif
smua informasi jelas,positif
tidak bisa login aplikasi aneh,negatif
knpa kdang lambat,negatif
mantap,positif
kenapa setelah update malah jadi error tidak bisa dipakai aplikasinya kenapa bisa begitu malah disuruh update lagi dan lagi,negatif
banyak gaya pakai diskon tapi pas mau beli di hilangin diskonnya,negatif
dana saya sudah hari belum dikembalikan padahal yang batal pihak toko kecewa dengan tokopedia,negatif
tidak amanah saya belanja ditipu sampai saat ini belum ada pertanggung jawaban oleh pihak tokopedia pelayanan sangat tidak manusiawi,negatif
ribut pusing tidak tau ah mau bilang apa cuma belanja lancarlancar aja siih ada semua dari segi faedah lainnya bayar bank sulit dah pakai vitual bank juga susah amat pusing,negatif
bagus promo nya,positif
semakin berat aja ini aplikasi semakin ke sini semakin ke sana lol,negatif
tempat belanja aman mudah terpercaya,positif
bagus lancar,positif
bagus,positif
aplikasi harga paling mahal di indonesia ni tidak seperti shopee dan lazada gratis ongkir dan cash on delivery bisa ada potongan harga lagi,negatif
sangat membantu,positif
ongkir keren kualitas bagus,positif
sebenarnya aku sering pakai tokopedia tapi akhir ini tidak bisa dibuka sering minta update dan gitu terus gimana solusinya,negatif
sangat membantu sekedar saran kalau bisa di tambah kan menu untuk mengatur harga jual pulsa di struk seperti aplikasi mitra tokopedia dulu,positif
mau tarik saldo dikembalikan malah keluar dari app terus stlh itu buka app nya saja tidak bisa otomatis keluar dari app terus,negatif
bagus,positif
aplikasi tidak jelas mending aplikasi si oranye,negatif
banyak error ui berat spam notifikasi tidak berguna tiap hari selalu ada sisanya bagus,negatif
kecewa sih sama tokopedia jt aku isi alamat sudah jelas lengkap pinpointnya sudah jelas kodepos nya juga benar tapi dapat sms dari pihak ekspedisi kalau tlckecamatan salah dan barang bakalan diretur padahal udah lengganan lho sama jt saya isi alamatnya juga sudah benar kecuali kalau ngisi form alamat seperti di shopee pasti ada kesalahan saya beli barang dapat diskon yang lumayan yaa kalau nanti pas diretur order kembali dapat harga diskon kalau tidak jelek jangan belanja tokopedia,negatif
semakin sini malah tidak ada gratis ongkir nya,negatif
mantap,positif
sangat memuaskan,positif
cash on delivery tidak bisa jelek,negatif
bagus,positif
memuaskan,positif
kok sekarang semakin berat aplikasinya upload foto atau video singkat untuk beri ulasan susah upload nya cari sesuatu di kolom pencarian juga yang muncul koneksi timeout kode error padahal untuk aktifitas buka aplikasi lain lancar jaya hanya aplikasi ini yang berat,negatif
jelek ribet,negatif
belakangan sering kecewa belanja di tokopedia pelayanan dari pusat resolusi sangat payah komplain mesti tunggu berhari baru direspon,negatif
semenjak update udah tidak bisa jualan barang lagi sistem nya semakin ribet padahal setiap barang yang laku kita dikenakan potongan kurang apalagi coba,negatif
mending tidak sah promo klu sama aja bo ong wkwk,negatif
puas dengan aplikasi tokopedia gratis ongkir,positif
luar biasa,positif
jelek cuih,negatif
sangat membantu kebutuhan rumah tangga mudah dan nyaman belanja di tokopedia,positif
keren,positif
tokopedia suka nahan nahan dana saldo yang mau ditarik,negatif
baik,positif
bagus pokoknya mantap,positif
kenapa tokopedia jadi jelek gini yah pesenan tidak gercep di tanganin lama di kirim proses sampai berahir batal otomatis,negatif
banyak penipuan di aplikasi ini dan tanggapan pihak aplikasi nya sangat mengecewakan sampai sampai dan yang di bayarkan belum juga kembali,negatif
saya suka tokopedia namun kelemahannya dia tidak punya expedisi sendiri sehingga ongkir mahal dan proses pengiriman sangat lambat semogah tokopedia segera mempunyai ekspedisi sendiri seperti ecommerce lain dan bisa bersaing dengan cepat nya pengiriman paket atau paling tidak membeli saham expedisi yang mati suri supaya menjadi customer prioritas,negatif
sistem layanan sampah,negatif
pengiriman sangat lambat,negatif
berat betul aplikasinya sekarang banyak error lagi,negatif
update yang terbaru ini parah tidak bisa transaksi dan buka menu yang lain macet mintol di update lagi dong,negatif
sekarang lama dengan aplikasi ini pengiriman dengan yang terterah tidak sesuai tulis hari saya pny barang sdh minggu di ekpedisi tidak di antar padahal sama kota,negatif
sangat mudah untuk transaksi belanja,positif
metode pembayaran semoga yang saya beli bermanfaat,positif
cepat dan amanah,positif
proses sudah filter masuk item kembali filternya selalu balik ke awal,negatif
seneng sebenernya ini pembelian pertama udah di kasih banyak diskon diskon spesial sama gratis ongkir ,positif
media pencarian kacau,negatif
aplikasi lebih disederhanakan,netral
