data,label,label_self_training
semakin kekini semakin payah,negatif,negatif
update mulu,negatif,negatif
aplikasi ini pengiriman lambataturan di membuat sendiri dan dilanggar sendiri tidak ada jaminan pengiriman tepat waktu,negatif,negatif
baik,positif,positif
error buka aplikasi terlalu berat di awal udah kaya download ribuan mb,negatif,negatif
tidak bisa memilih metode pembayaran selain yang utama seringnya error,negatif,negatif
pengiriman lama mau komplain tidak bisa,negatif,negatif
aplikasi lambat perbaiki kalau tidak kalah sama aplikasi lain yang lebih lancar amin,negatif,negatif
smua informasi jelas,positif,positif
tidak bisa login aplikasi aneh,negatif,negatif
knpa kdang lambat,negatif,negatif
mantap,positif,positif
kenapa setelah update malah jadi error tidak bisa dipakai aplikasinya kenapa bisa begitu malah disuruh update lagi dan lagi,negatif,negatif
banyak gaya pakai diskon tapi pas mau beli di hilangin diskonnya,negatif,negatif
dana saya sudah hari belum dikembalikan padahal yang batal pihak toko kecewa dengan tokopedia,negatif,negatif
tidak amanah saya belanja ditipu sampai saat ini belum ada pertanggung jawaban oleh pihak tokopedia pelayanan sangat tidak manusiawi,negatif,negatif
ribut pusing tidak tau ah mau bilang apa cuma belanja lancarlancar aja siih ada semua dari segi faedah lainnya bayar bank sulit dah pakai vitual bank juga susah amat pusing,negatif,negatif
bagus promo nya,positif,positif
semakin berat aja ini aplikasi semakin ke sini semakin ke sana lol,negatif,negatif
tempat belanja aman mudah terpercaya,positif,positif
bagus lancar,positif,positif
bagus,positif,positif
aplikasi harga paling mahal di indonesia ni tidak seperti shopee dan lazada gratis ongkir dan cash on delivery bisa ada potongan harga lagi,negatif,negatif
sangat membantu,positif,positif
ongkir keren kualitas bagus,positif,positif
sebenarnya aku sering pakai tokopedia tapi akhir ini tidak bisa dibuka sering minta update dan gitu terus gimana solusinya,negatif,negatif
sangat membantu sekedar saran kalau bisa di tambah kan menu untuk mengatur harga jual pulsa di struk seperti aplikasi mitra tokopedia dulu,positif,positif
mau tarik saldo dikembalikan malah keluar dari app terus stlh itu buka app nya saja tidak bisa otomatis keluar dari app terus,negatif,negatif
bagus,positif,positif
aplikasi tidak jelas mending aplikasi si oranye,negatif,negatif
banyak error ui berat spam notifikasi tidak berguna tiap hari selalu ada sisanya bagus,negatif,negatif
kecewa sih sama tokopedia jt aku isi alamat sudah jelas lengkap pinpointnya sudah jelas kodepos nya juga benar tapi dapat sms dari pihak ekspedisi kalau tlckecamatan salah dan barang bakalan diretur padahal udah lengganan lho sama jt saya isi alamatnya juga sudah benar kecuali kalau ngisi form alamat seperti di shopee pasti ada kesalahan saya beli barang dapat diskon yang lumayan yaa kalau nanti pas diretur order kembali dapat harga diskon kalau tidak jelek jangan belanja tokopedia,negatif,negatif
semakin sini malah tidak ada gratis ongkir nya,negatif,negatif
mantap,positif,positif
sangat memuaskan,positif,positif
cash on delivery tidak bisa jelek,negatif,negatif
bagus,positif,positif
memuaskan,positif,positif
