review,rating,app
"perkara ganti akun aja di hp gabisa bisa terus masuk, udah di uninstall tetep aja gabisa login",1,Netflix
"aplikasi yang sangat buruk dan ribet, mau masuk saja ribet banget",1,Netflix
suka bug buffering gk berhenti berhenti,1,Netflix
"Udah daftar sesuai aturan eh malah gagal terus d kartu kredit nya, padahal saldonya cukup lumayan , tapi gagal terus 😡",1,Netflix
ok,4,Netflix
"masuk aja susah, di suruh bayar trus, maksa.",1,Netflix
"aplikasi kebanyakan drama, login susah house hold beli mahal",1,Netflix
bintang 3 dulu klo bagus ku tmbhin,3,Netflix
apalah harus bayar dulu apk gak jelas,1,Netflix
oke,5,Netflix
gk bisa login padahal dah bener akun sama passwordnya,1,Netflix
bagus banget sesuai yang ku mau,5,Netflix
"udah clear cache berulang, sampe uninstal dan install ulang tetep tidak bisa mutar film nya!",2,Netflix
"bagus, tapi harga paket nya lumayan mahal. kalo rp40/rp60 perbulan 1 user untuk smart tv mungkin bisa berlangganan perbulan.",5,Netflix
"saldo udah ketarik, udah bisa streaming, besoknya dibilang belum bayar, aplikasi gak jelas. jijik",1,Netflix
👍,5,Netflix
gak bisa masuk go*l*k email salah terus sandi salah terus padahal udah benar semua percuma aplikasi bagus tapi mempersulit pengguna baru gimana mau pakai kalok aplikasi nay aja kurang optimal kan biar bintang yang menilai,1,Netflix
bagus,5,Netflix
"SUSAH DI PAKAI....KEBANYAKAN DAFTAR INI ITU,MAKANYA GAK LAKU APP NYA....",1,Netflix
kagak jelas ni netflix,1,Netflix
"NETFLIX,udah bagus hanya Developer saya hanya minta tambahin film yang belum ada, seperti MONKART - SHINBI HAUSE ,dan lain lain trimakasih",5,Netflix
Ribet buat bayarnya,3,Netflix
"buat akun gak bisa,login apalagi",1,Netflix
berlangganan netflix sangat menyenangkan... film² baru terus tayang hampir setiap hari... film²nya selalu memenuhi waktu luang disaat butuh hiburan/rileks/dll,5,Netflix
daftar aja harus bayar padahal masi daftar kenapa pas nonton aja baru berbayar tapi ini daftar berbayar aplikasi kikir aplikasi berbayar paling buruk,1,Netflix
"tolong tampilan awal mau masuk jangan promosiin film horror g semua orang suka, bisa aja memicu trauma",1,Netflix
masuk aee susahhh,1,Netflix
Ok,5,Netflix
"gajelas banget padahal apknya sendiri yang meromendasikan buat akun baru tapi malah di bilangin gini""nomor telepon tidak terdaftar di akun mana pun""apa coba ngeselin banget aku sampe nangis karna muter muter disitu doang,bikin apk yang bener lah jangan 00n gini, kalo bisa kasih bintang min1000000 kukasih tuh min1000000",1,Netflix
app tidak menghibur..hanya untuk keuntungan semata..app cacat,1,Netflix
apk busuk sampah login susah bayar banyak masalah cuih,1,Netflix
kok bisa ak ga pernah perpnjng Netflix tiba2 ad tagihan di shope pay bayar nnti Netflix,1,Netflix
terlalu ribet cara daftarnya aplikasi yg jelek mending loklok,1,Netflix
burik aplikasi nya harus langganan Mulu Ama daftar nya di persulit,1,Netflix
gak di kasih cara masuk yang jelas Mlah susah banget,1,Netflix
"terkadang season di filmnya kurang lengkap, padahal di aplikasi lain season tsb sudah ada, jadi saya merasa kecewa karena telah membayar/langganan tapi season,episode,film kurang lengkap,jadi mohon di perbaiki segera,kalau masih seperti ini saya mending ganti, karena filmnya kurang, episode tidak lengkap, season tidak lengkap,dan grafik yang mengikuti kualitas jaringan,aku sedikit kecewa",3,Netflix
"mempermudah nonton,jadi tidak usah lagi ke bioskop",5,Netflix
netflix mantap..film2 nya bagus2...😍,5,Netflix
Sulit untuk mendaftar .,1,Netflix
goooood,5,Netflix
